tenant_id,member_id,membership_number,nic,name_with_initials,full_name,date_of_birth,gender,marital_status,address,contact_number,is_member,registered_branch_id,status,created_at,age_category
1,d6ca31b8-9216-4fb8-8e32-e5e276bc92dc,M-1-1001,199998827X,A. B. Member 1-1,Full Name Member 1-1,1990-01-01,MALE,UNMARRIED,Test Address,0770000000,true,1,ACTIVE,2026-07-13 00:00:00,ADULT
1,ec424fe7-94ed-43c7-a221-d702b26bb6de,M-1-1002,199680920X,A. B. Member 1-2,Full Name Member 1-2,1990-01-01,MALE,UNMARRIED,Test Address,0770000000,true,1,ACTIVE,2026-07-13 00:00:00,ADULT
1,e948f0b8-aa14-4252-8d71-b63c1cea15f6,M-1-1003,199165201X,A. B. Member 1-3,Full Name Member 1-3,1990-01-01,MALE,UNMARRIED,Test Address,0770000000,true,1,ACTIVE,2026-07-13 00:00:00,ADULT
1,1c5dce6e-233a-4201-bae5-430a2f3799ea,M-1-1004,199886020X,A. B. Member 1-4,Full Name Member 1-4,1990-01-01,MALE,UNMARRIED,Test Address,0770000000,true,1,ACTIVE,2026-07-13 00:00:00,ADULT
1,c09a1f16-5764-4e1d-8d02-6bcf6989ab02,M-1-1005,199617551X,A. B. Member 1-5,Full Name Member 1-5,1990-01-01,MALE,UNMARRIED,Test Address,0770000000,true,1,ACTIVE,2026-07-13 00:00:00,ADULT
1,6e9c27c4-18c8-4a50-a3fa-094a6082f417,M-1-1006,199618193X,A. B. Member 1-6,Full Name Member 1-6,1990-01-01,MALE,UNMARRIED,Test Address,0770000000,true,1,ACTIVE,2026-07-13 00:00:00,ADULT
1,af35f6f3-4907-43c2-b90a-1b979929e30a,M-1-1007,199944502X,A. B. Member 1-7,Full Name Member 1-7,1990-01-01,MALE,UNMARRIED,Test Address,0770000000,true,1,ACTIVE,2026-07-13 00:00:00,ADULT
1,f17613d3-4bda-4a31-a3a9-d16d243a90f0,M-1-1008,199901137X,A. B. Member 1-8,Full Name Member 1-8,1990-01-01,MALE,UNMARRIED,Test Address,0770000000,true,1,ACTIVE,2026-07-13 00:00:00,ADULT
1,1f91feee-baf8-447b-a512-8c2b897c4751,M-1-1009,199915415X,A. B. Member 1-9,Full Name Member 1-9,1990-01-01,MALE,UNMARRIED,Test Address,0770000000,true,1,ACTIVE,2026-07-13 00:00:00,ADULT
1,5485c672-bc2b-4b77-adc0-799c2eadb07f,M-1-1010,199179132X,A. B. Member 1-10,Full Name Member 1-10,1990-01-01,MALE,UNMARRIED,Test Address,0770000000,true,1,ACTIVE,2026-07-13 00:00:00,ADULT
1,ea72ea0b-7a23-4b55-93b6-73dc1adfca20,M-1-1011,199491808X,A. B. Member 1-11,Full Name Member 1-11,1990-01-01,MALE,UNMARRIED,Test Address,0770000000,true,1,ACTIVE,2026-07-13 00:00:00,ADULT
1,5866588a-1b86-47f1-ae3e-7f904631e20b,M-1-1012,199667038X,A. B. Member 1-12,Full Name Member 1-12,1990-01-01,MALE,UNMARRIED,Test Address,0770000000,true,1,ACTIVE,2026-07-13 00:00:00,ADULT
1,8cce548d-2c30-462e-adf1-ab4747331422,M-1-1013,199352591X,A. B. Member 1-13,Full Name Member 1-13,1990-01-01,MALE,UNMARRIED,Test Address,0770000000,true,1,ACTIVE,2026-07-13 00:00:00,ADULT
1,607c46ef-a772-4358-b83c-e2267f4c4341,M-1-1014,199107936X,A. B. Member 1-14,Full Name Member 1-14,1990-01-01,MALE,UNMARRIED,Test Address,0770000000,true,1,ACTIVE,2026-07-13 00:00:00,ADULT
1,afed3fb8-e5bd-4bcf-babc-cf2394e1fe23,M-1-1015,199463059X,A. B. Member 1-15,Full Name Member 1-15,1990-01-01,MALE,UNMARRIED,Test Address,0770000000,true,1,ACTIVE,2026-07-13 00:00:00,ADULT
1,bf7e8739-2abf-478b-8bd0-0e5f2759be80,M-1-1016,199454634X,A. B. Member 1-16,Full Name Member 1-16,1990-01-01,MALE,UNMARRIED,Test Address,0770000000,true,1,ACTIVE,2026-07-13 00:00:00,ADULT
1,c7e8e5b6-e070-474a-9904-fbb62a1daeb1,M-1-1017,199297223X,A. B. Member 1-17,Full Name Member 1-17,1990-01-01,MALE,UNMARRIED,Test Address,0770000000,true,1,ACTIVE,2026-07-13 00:00:00,ADULT
1,e551b141-1188-408f-bfab-9978ada0a7a0,M-1-1018,199410570X,A. B. Member 1-18,Full Name Member 1-18,1990-01-01,MALE,UNMARRIED,Test Address,0770000000,true,1,ACTIVE,2026-07-13 00:00:00,ADULT
1,e67ab003-c85c-4b98-9ce9-45e0f26e2702,M-1-1019,199892632X,A. B. Member 1-19,Full Name Member 1-19,1990-01-01,MALE,UNMARRIED,Test Address,0770000000,true,1,ACTIVE,2026-07-13 00:00:00,ADULT
1,523e5c26-1453-4d52-8ad7-7c33a8f4b4d9,M-1-1020,199607856X,A. B. Member 1-20,Full Name Member 1-20,1990-01-01,MALE,UNMARRIED,Test Address,0770000000,true,1,ACTIVE,2026-07-13 00:00:00,ADULT
1,7f161149-4eb8-42aa-a9b0-2101fc13dc02,M-1-1021,199847952X,A. B. Member 1-21,Full Name Member 1-21,1990-01-01,MALE,UNMARRIED,Test Address,0770000000,true,1,ACTIVE,2026-07-13 00:00:00,ADULT
1,bbca7881-3241-45a7-8732-dfd64baeafac,M-1-1022,199750729X,A. B. Member 1-22,Full Name Member 1-22,1990-01-01,MALE,UNMARRIED,Test Address,0770000000,true,1,ACTIVE,2026-07-13 00:00:00,ADULT
1,ec1a1e81-343d-42cb-adef-884c667e7383,M-1-1023,199308560X,A. B. Member 1-23,Full Name Member 1-23,1990-01-01,MALE,UNMARRIED,Test Address,0770000000,true,1,ACTIVE,2026-07-13 00:00:00,ADULT
